OBJECTID,AREANAME,ST,STFIPS,PLACEFIP,CAPITAL,AREALAND,AREAWATER,POP_CL,POP2000,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALES,FEMALES,AGE_UNDER5,AGE_5_17,AGE_18_21,AGE_22_29,AGE_30_39,AGE_40_49,AGE_50_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC
1,Honolulu,HI,15,17000,Y,85.701999999999998,19.350999999999999,8,371657,73093,6038,689,207588,25457,3318,55474,16229,182628,189029,18896,52576,18274,41526,56230,55990,61908,66257,39.700000000000003,38.399999999999999,41.100000000000001,140337,2.570000000000000,19657,22032,24570,39239,2030,6592,87374,3.230000000000000,158663,18326,65861,74476
2,Mesa,AZ,04,46000,N,124.986999999999990,0.195000000000000,8,396375,323655,9977,6572,5917,932,38271,11051,78281,196378,199997,32592,75785,24746,52419,57871,50436,49650,52876,32.000000000000000,30.699999999999999,33.600000000000001,146643,2.680000000000000,15205,20314,35199,42068,3881,9848,99856,3.200000000000000,175701,29058,97308,49335
3,Phoenix,AZ,04,55000,Y,474.862000000000020,0.227000000000000,10,1321045,938853,67416,26696,26449,1766,216589,43276,449972,671760,649285,114516,267919,80898,179201,222468,185726,163522,106795,30.699999999999999,30.100000000000001,31.500000000000000,465834,2.790000000000000,58261,60161,113190,105326,15511,37656,307243,3.390000000000000,495832,29998,282670,183164
4,Tucson,AZ,04,77000,N,194.672000000000000,0.419000000000000,8,486699,341424,21057,11038,11959,796,81988,18437,173868,238408,248291,35201,84416,40572,67127,73236,66217,62102,57828,32.100000000000001,30.800000000000001,33.500000000000000,192891,2.420000000000000,29346,32941,34519,42027,5078,16373,112515,3.120000000000000,209609,16718,103056,89835
5,Anaheim,CA,06,02000,N,48.942000000000000,1.507000000000000,8,328014,179627,8735,3041,39311,1393,79427,16480,153374,164058,163956,30206,68758,18875,44397,57234,43149,38622,26773,30.300000000000001,29.699999999999999,30.899999999999999,96969,3.340000000000000,7744,9796,31381,23205,3061,7280,73502,3.750000000000000,99719,2750,48514,48455
6,Fresno,CA,06,27000,N,104.363000000000000,0.441000000000000,8,427652,214556,35763,6763,48028,583,99898,22061,170520,210107,217545,38996,101795,29757,53169,61956,54367,48038,39574,28.500000000000000,27.399999999999999,29.600000000000001,140079,2.990000000000000,14184,18462,35540,29082,4904,16150,97923,3.570000000000000,149025,8946,70884,69195
7,Long Beach,CA,06,43000,N,50.439999999999998,15.426000000000000,8,461522,208410,68618,3881,55591,5605,95107,24310,165092,226718,234804,38587,96052,28407,60845,78928,63068,53733,41902,30.800000000000001,30.300000000000001,31.199999999999999,163088,2.770000000000000,23629,24578,35152,28857,4662,17266,99663,3.550000000000000,171632,8544,66928,96160
8,Los Angeles,CA,06,44000,N,469.072000000000000,29.216000000000001,10,3694820,1734036,415195,29412,369254,5915,949720,191288,1719073,1841805,1853015,285976,695335,226327,522360,644779,508091,454823,357129,31.600000000000001,30.800000000000001,32.600000000000001,1275412,2.830000000000000,175968,187489,288841,246150,33574,104867,798719,3.560000000000000,1337706,62294,491882,783530
9,Oakland,CA,06,53000,N,56.055000000000000,22.097999999999999,8,399484,125013,142460,2655,60851,2002,46592,19911,87467,192757,206727,28292,71467,20407,54811,68998,58712,55009,41788,33.299999999999997,32.299999999999997,34.399999999999999,150790,2.600000000000000,21728,27224,24838,26494,3382,14932,86347,3.380000000000000,157508,6718,62489,88301
10,Sacramento,CA,06,64000,Y,97.156999999999996,2.083000000000000,8,407018,196549,62968,5300,67635,3861,44627,26078,87974,197784,209234,29066,82224,23808,50477,62527,58320,54153,46443,32.799999999999997,31.600000000000001,34.000000000000000,154581,2.570000000000000,21802,27740,28093,31209,4023,14536,91137,3.350000000000000,163957,9376,77514,77067
11,San Diego,CA,06,66000,N,324.341000000000010,47.689999999999998,10,1223400,736207,96216,7543,166968,5853,151532,59081,310752,616884,606516,82523,211385,85983,176567,210745,174023,154166,128008,32.500000000000000,31.500000000000000,33.600000000000001,450691,2.610000000000000,60633,65577,98074,103139,8538,29473,271398,3.300000000000000,469689,18998,223280,227411
12,San Francisco,CA,06,67000,N,46.694000000000003,185.221000000000000,9,776733,385728,60515,3458,239565,3844,50368,33255,109504,394828,381905,31633,81169,31505,130484,161353,117999,116479,106111,36.500000000000000,36.000000000000000,37.200000000000003,329700,2.300000000000000,63760,63616,40269,64041,3154,11284,145186,3.220000000000000,346527,16827,115391,214309
13,San Jose,CA,06,68000,N,174.863000000000000,3.315000000000000,9,894943,425017,31349,6865,240375,3584,142691,45062,269989,454798,440145,68243,167881,49115,118111,165473,132993,119267,73860,32.600000000000001,32.000000000000000,33.299999999999997,276598,3.200000000000000,24669,26269,82694,72306,6587,16654,203681,3.620000000000000,281841,5243,170950,105648
14,Santa Ana,CA,06,69000,N,27.141999999999999,0.257000000000000,8,337977,144425,5749,4013,29778,1160,137360,15492,257097,175219,162758,34816,80691,24241,52733,59648,38368,28915,18565,26.500000000000000,26.300000000000001,26.800000000000001,73002,4.550000000000000,3890,5405,30721,13484,2590,5534,59784,4.720000000000000,74588,1586,36005,36997
15,Colorado Springs,CO,08,16000,N,185.744000000000000,0.390000000000000,8,360890,291095,23677,3175,10179,764,18091,13909,43330,178469,182421,26920,68703,20949,44305,59076,57462,48696,34779,33.600000000000001,32.299999999999997,34.899999999999999,141516,2.500000000000000,17859,20334,34930,37910,3109,10098,93049,3.060000000000000,148690,7174,85981,55535
16,Denver,CO,08,20000,Y,153.349999999999990,1.587000000000000,9,554636,362180,61649,7290,15611,648,86464,20794,175704,280207,274429,37769,83997,29897,90415,98337,79026,72769,62426,33.100000000000001,32.200000000000003,34.299999999999997,239235,2.270000000000000,44646,49398,35890,47126,4496,15212,119300,3.140000000000000,251435,12200,125539,113696
17,Washington,DC,11,50000,Y,61.402999999999999,6.938000000000000,9,572059,176101,343312,1713,15189,348,21950,13446,44953,269366,302693,32536,82456,42152,83334,94862,81125,85696,69898,34.600000000000001,33.700000000000003,35.600000000000001,248338,2.160000000000000,48347,60397,20741,35890,3802,24561,114166,3.070000000000000,274845,26507,101214,147124
18,Jacksonville,FL,12,35000,N,757.673000000000000,116.648000000000000,9,735617,474307,213514,2474,20427,448,9816,14631,30594,356284,379333,53938,142401,40991,86611,121411,112054,102296,75915,33.799999999999997,32.600000000000001,34.899999999999999,284499,2.530000000000000,33523,40957,61783,70973,6462,28155,190533,3.070000000000000,308826,24327,179729,104770
19,Miami,FL,12,45000,N,35.673000000000002,19.593000000000000,8,362470,241470,80858,810,2376,130,19644,17182,238351,180194,182276,21222,57575,17923,40490,57299,49745,56448,61768,37.700000000000003,36.299999999999997,39.299999999999997,134198,2.610000000000000,20274,20560,19741,29398,3179,12357,83281,3.250000000000000,148388,14190,46836,87362
20,Tampa,FL,12,71000,N,112.063999999999990,58.533000000000001,8,303447,194871,79118,1155,6527,281,12646,8849,58522,148050,155397,20528,54238,17535,36668,49885,45190,41450,37953,34.700000000000003,33.700000000000003,35.700000000000003,124758,2.360000000000000,19694,22408,19718,25638,2817,11913,71220,3.070000000000000,135776,11018,68589,56169
21,Atlanta,GA,13,04000,Y,131.746000000000010,0.678000000000000,8,416474,138352,255689,765,8046,173,8272,5177,18720,206725,209749,26666,66338,31844,66876,73134,56907,54174,40535,31.899999999999999,31.199999999999999,32.899999999999999,168147,2.300000000000000,30545,34114,15465,25734,2489,19780,83182,3.160000000000000,186925,18778,73473,94674
