OBJECTID,AREANAME,CLASS,ST,STFIPS,PLACEFIP,CAPITAL,AREALAND,AREAWATER,POP_CL,POP2000,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALES,FEMALES,AGE_UNDER5,AGE_5_17,AGE_18_21,AGE_22_29,AGE_30_39,AGE_40_49,AGE_50_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC
1,Phoenix,city,AZ,04,55000,Y,474.862000000000020,0.227000000000000,10,1321045,938853,67416,26696,26449,1766,216589,43276,449972,671760,649285,114516,267919,80898,179201,222468,185726,163522,106795,30.699999999999999,30.100000000000001,31.500000000000000,465834,2.790000000000000,58261,60161,113190,105326,15511,37656,307243,3.390000000000000,495832,29998,282670,183164
2,Los Angeles,city,CA,06,44000,N,469.072000000000000,29.216000000000001,10,3694820,1734036,415195,29412,369254,5915,949720,191288,1719073,1841805,1853015,285976,695335,226327,522360,644779,508091,454823,357129,31.600000000000001,30.800000000000001,32.600000000000001,1275412,2.830000000000000,175968,187489,288841,246150,33574,104867,798719,3.560000000000000,1337706,62294,491882,783530
3,San Diego,city,CA,06,66000,N,324.341000000000010,47.689999999999998,10,1223400,736207,96216,7543,166968,5853,151532,59081,310752,616884,606516,82523,211385,85983,176567,210745,174023,154166,128008,32.500000000000000,31.500000000000000,33.600000000000001,450691,2.610000000000000,60633,65577,98074,103139,8538,29473,271398,3.300000000000000,469689,18998,223280,227411
4,San Francisco,city,CA,06,67000,N,46.694000000000003,185.221000000000000,9,776733,385728,60515,3458,239565,3844,50368,33255,109504,394828,381905,31633,81169,31505,130484,161353,117999,116479,106111,36.500000000000000,36.000000000000000,37.200000000000003,329700,2.300000000000000,63760,63616,40269,64041,3154,11284,145186,3.220000000000000,346527,16827,115391,214309
5,San Jose,city,CA,06,68000,N,174.863000000000000,3.315000000000000,9,894943,425017,31349,6865,240375,3584,142691,45062,269989,454798,440145,68243,167881,49115,118111,165473,132993,119267,73860,32.600000000000001,32.000000000000000,33.299999999999997,276598,3.200000000000000,24669,26269,82694,72306,6587,16654,203681,3.620000000000000,281841,5243,170950,105648
6,Denver,city,CO,08,20000,Y,153.349999999999990,1.587000000000000,9,554636,362180,61649,7290,15611,648,86464,20794,175704,280207,274429,37769,83997,29897,90415,98337,79026,72769,62426,33.100000000000001,32.200000000000003,34.299999999999997,239235,2.270000000000000,44646,49398,35890,47126,4496,15212,119300,3.140000000000000,251435,12200,125539,113696
7,Washington,city,DC,11,50000,Y,61.402999999999999,6.938000000000000,9,572059,176101,343312,1713,15189,348,21950,13446,44953,269366,302693,32536,82456,42152,83334,94862,81125,85696,69898,34.600000000000001,33.700000000000003,35.600000000000001,248338,2.160000000000000,48347,60397,20741,35890,3802,24561,114166,3.070000000000000,274845,26507,101214,147124
8,Jacksonville,city,FL,12,35000,N,757.673000000000000,116.648000000000000,9,735617,474307,213514,2474,20427,448,9816,14631,30594,356284,379333,53938,142401,40991,86611,121411,112054,102296,75915,33.799999999999997,32.600000000000001,34.899999999999999,284499,2.530000000000000,33523,40957,61783,70973,6462,28155,190533,3.070000000000000,308826,24327,179729,104770
9,Chicago,city,IL,17,14000,N,227.131000000000000,6.869000000000000,10,2896016,1215315,1065009,10290,125974,1788,393203,84437,753644,1405107,1490909,218522,541318,172620,431648,479483,384230,369392,298803,31.500000000000000,30.500000000000000,32.600000000000001,1061928,2.670000000000000,157419,188413,179408,193562,21343,105705,632558,3.500000000000000,1152868,90940,464865,597063
10,Indianapolis,"city (consolidated, balance)",IN,18,36003,Y,361.478000000000010,6.678000000000000,9,781870,540212,199412,1985,11161,322,15921,12857,30636,378310,403560,57523,143094,42739,103461,127775,116990,104430,85858,33.500000000000000,32.200000000000003,34.799999999999997,320107,2.390000000000000,45822,56671,57496,72411,7854,30184,192754,3.040000000000000,352429,32322,187590,132517
